round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,300,240,100,60,240,240,320,
2,340,280,40,20,280,280,0,
3,360,300,20,20,300,300,0,
