round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,300,260,100,40,240,260,320,
2,340,300,40,0,300,300,0,
3,420,320,20,0,340,320,0,
