round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,300,260,100,60,240,260,280,
2,340,280,40,20,300,280,360,
3,420,300,20,20,320,300,0,
4,0,0,0,0,0,340,0,
