round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,17,18,26,29,28,
1,76,38,9,5,36,
2,84,0,8,5,41,
3,97,0,4,1,50,
4,104,0,10,0,52,
5,105,0,0,0,0,
