round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,12,14,21,25,18,
1,38,38,40,9,30,
2,60,54,19,5,41,
3,76,59,20,2,46,
4,83,60,4,0,48,
5,0,61,6,0,50,
6,0,0,3,0,52,
7,0,0,9,0,0,
