round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,16,14,29,14,21,
1,30,33,10,31,35,
2,53,36,10,0,43,
3,67,43,21,0,53,
4,74,46,6,0,54,
5,75,47,2,0,0,
6,80,51,1,0,0,
7,0,53,2,0,0,
8,0,0,9,0,0,
9,0,0,35,0,0,
10,0,0,12,0,0,
11,0,0,2,0,0,
12,0,0,4,0,0,
13,0,0,2,0,0,
14,0,0,3,0,0,
15,0,0,2,0,0,
16,0,0,1,0,0,
17,0,0,6,0,0,
18,0,0,4,0,0,
19,0,0,3,0,0,
20,0,0,3,0,0,
21,0,0,4,0,0,
22,0,0,2,0,0,
