round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,18,19,15,23,23,
1,44,26,19,20,34,
2,65,31,18,27,36,
3,71,32,18,3,38,
4,92,33,8,0,40,
5,95,59,8,0,0,
6,99,60,10,0,0,
