round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,19,36,15,27,23,
1,37,60,32,17,48,
2,57,0,10,6,64,
3,64,0,23,3,72,
4,72,0,3,2,0,
5,74,0,2,0,0,
6,82,0,11,0,0,
7,87,0,1,0,0,
8,92,0,3,0,0,
9,0,0,5,0,0,
