round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,22,14,19,18,18,
1,41,25,23,7,42,
2,61,36,18,7,47,
3,77,0,15,1,62,
4,97,0,3,2,0,
5,100,0,2,0,0,
6,105,0,0,0,0,
