T,var,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
50.00,0.02,13563,2236,3048,1280,6911,
50.00,0.04,11080,6980,2892,1360,5675,
50.00,0.06,9452,13034,2097,705,6136,
50.00,0.08,6316,7622,2861,741,7709,
50.00,0.10,5013,8217,4071,1070,5886,
50.00,0.12,8059,5676,3960,2073,5400,
50.00,0.14,9230,1732,1787,767,5075,
50.00,0.16,9521,8119,5029,906,6021,
50.00,0.18,7648,11970,1635,619,4664,
50.00,0.20,9665,1337,1468,873,5897,
