T,var,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
50.00,0.02,106.4,71,219.4,134.9,93,
50.00,0.04,100.3,78.1,212.3,142,71,
50.00,0.06,106.1,71,196.4,99.4,79,
50.00,0.08,85.2,85.2,227.6,113.6,98,
50.00,0.10,84.7,85.2,274.3,120.7,85,
50.00,0.12,99.4,71,318.9,205.9,85,
50.00,0.14,84.5,71,174.8,127.8,79,
50.00,0.16,113.3,85.2,387,85.2,79,
50.00,0.18,92.1,71,168.8,78.1,72,
50.00,0.20,84.4,71,140.5,106.5,71,
