round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,14,16,15,12,16,
1,31,37,11,22,34,
2,45,39,14,11,45,
3,52,44,19,37,52,
4,72,47,11,5,53,
5,82,0,22,1,0,
6,83,0,16,1,0,
7,0,0,3,2,0,
8,0,0,5,0,0,
9,0,0,1,0,0,
10,0,0,7,0,0,
11,0,0,3,0,0,
12,0,0,14,0,0,
13,0,0,2,0,0,
