T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
2500.00,0.10,1000,650,4300,2800,800,650,
3025.00,0.10,1100,770,4730,1650,880,770,
3600.00,0.10,1200,780,5160,3300,900,780,
4225.00,0.10,1300,910,5590,9295,910,910,
4900.00,0.10,1400,910,6020,2870,1120,1050,
5625.00,0.10,1500,1050,6450,5325,1125,1200,
6400.00,0.10,1600,1040,6880,5040,1120,1120,
7225.00,0.10,1700,1190,7310,4845,1275,1445,
8100.00,0.10,1800,1350,7740,4140,1170,1350,
9025.00,0.10,1900,1710,8170,3610,1520,1140,
10000.00,0.10,2000,1500,8600,5800,1500,1500,
