T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
2500.00,0.10,8066,13059,3319,1897,10059,7110,
3025.00,0.10,20063,5639,1490,1216,9194,4903,
3600.00,0.10,17563,6094,4605,2262,6682,6829,
4225.00,0.10,11004,7411,3647,1107,6149,7465,
4900.00,0.10,7453,14427,3288,1296,6985,3097,
5625.00,0.10,8470,10195,2045,1428,8660,5307,
6400.00,0.10,21206,17652,1745,1825,11330,11458,
7225.00,0.10,12209,3142,2571,2550,10994,5557,
8100.00,0.10,15135,15183,2313,1472,3294,10981,
9025.00,0.10,10000,12370,2442,1324,13230,14313,
10000.00,0.10,8295,10290,2951,1121,6479,7898,
