round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,28,22,23,22,18,
1,53,62,28,37,60,
2,84,108,40,37,90,
3,127,141,49,87,127,
4,157,202,35,22,159,
5,234,237,77,29,235,
6,261,290,30,35,272,
7,287,340,23,23,315,
8,302,382,29,24,337,
9,318,443,19,29,376,
10,341,473,15,13,408,
11,363,532,18,18,464,
12,394,558,20,21,510,
13,418,591,5,8,564,
14,444,636,9,8,599,
15,462,664,11,6,635,
16,473,714,11,3,675,
17,481,741,6,6,704,
18,489,772,5,3,737,
19,502,817,3,3,748,
20,522,853,1,7,763,
21,528,893,1,2,792,
22,531,909,2,2,813,
23,533,945,1,2,843,
24,539,971,5,3,860,
25,546,1014,0,16,886,
26,547,1039,0,2,893,
27,551,1078,0,1,900,
28,553,1123,0,2,915,
29,558,1134,0,3,965,
30,561,1171,0,3,990,
31,562,1195,0,2,1007,
32,567,1224,0,1,1025,
33,571,1258,0,1,1063,
34,572,1296,0,5,1098,
35,573,1306,0,2,1117,
36,574,1329,0,1,1143,
37,575,1351,0,2,1160,
38,0,1384,0,1,1170,
39,0,1392,0,1,1183,
40,0,1404,0,4,1209,
41,0,1407,0,1,1226,
42,0,1425,0,1,1241,
43,0,1442,0,4,1275,
44,0,1452,0,1,1285,
45,0,1458,0,5,1303,
46,0,1473,0,1,1322,
47,0,1492,0,1,1352,
48,0,1499,0,0,1366,
49,0,1508,0,0,1373,
50,0,1520,0,0,1382,
51,0,1530,0,0,1394,
52,0,1541,0,0,0,
53,0,1559,0,0,0,
54,0,1576,0,0,0,
55,0,1599,0,0,0,
56,0,1607,0,0,0,
57,0,1612,0,0,0,
58,0,1620,0,0,0,
59,0,1624,0,0,0,
60,0,1626,0,0,0,
61,0,1649,0,0,0,
62,0,1661,0,0,0,
63,0,1665,0,0,0,
64,0,1675,0,0,0,
65,0,1695,0,0,0,
66,0,1723,0,0,0,
67,0,1729,0,0,0,
68,0,1731,0,0,0,
69,0,1739,0,0,0,
70,0,1743,0,0,0,
71,0,1751,0,0,0,
72,0,1760,0,0,0,
73,0,1768,0,0,0,
74,0,1773,0,0,0,
75,0,1781,0,0,0,
76,0,1798,0,0,0,
77,0,1807,0,0,0,
78,0,1831,0,0,0,
79,0,1850,0,0,0,
80,0,1868,0,0,0,
81,0,1873,0,0,0,
82,0,1875,0,0,0,
83,0,1878,0,0,0,
84,0,1891,0,0,0,
85,0,1903,0,0,0,
86,0,1906,0,0,0,
87,0,1912,0,0,0,
88,0,1916,0,0,0,
89,0,1925,0,0,0,
90,0,1930,0,0,0,
91,0,1936,0,0,0,
92,0,1956,0,0,0,
93,0,1965,0,0,0,
94,0,1966,0,0,0,
95,0,1973,0,0,0,
96,0,1975,0,0,0,
97,0,1983,0,0,0,
98,0,2000,0,0,0,
99,0,2003,0,0,0,
100,0,2005,0,0,0,
101,0,2009,0,0,0,
102,0,2014,0,0,0,
103,0,2027,0,0,0,
104,0,2029,0,0,0,
105,0,2032,0,0,0,
106,0,2035,0,0,0,
107,0,2037,0,0,0,
108,0,2042,0,0,0,
109,0,2050,0,0,0,
110,0,2051,0,0,0,
111,0,2053,0,0,0,
112,0,2066,0,0,0,
113,0,2081,0,0,0,
114,0,2089,0,0,0,
115,0,2100,0,0,0,
116,0,2105,0,0,0,
117,0,2107,0,0,0,
118,0,2116,0,0,0,
119,0,2118,0,0,0,
