round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,17,21,33,23,16,
1,84,58,40,65,59,
2,138,106,44,65,102,
3,181,138,64,33,142,
4,259,167,71,45,192,
5,293,203,44,43,244,
6,309,247,23,18,286,
7,343,274,28,15,305,
8,370,309,16,38,345,
9,399,353,11,14,376,
10,416,373,11,15,410,
11,418,404,10,5,462,
12,424,423,8,9,489,
13,431,454,3,2,531,
14,435,469,6,2,541,
15,0,495,5,6,563,
16,0,513,0,1,572,
17,0,529,0,3,618,
18,0,557,0,1,651,
19,0,585,0,2,661,
20,0,593,0,1,691,
21,0,617,0,3,716,
22,0,657,0,1,748,
23,0,676,0,1,762,
24,0,706,0,2,780,
25,0,710,0,2,794,
26,0,721,0,1,804,
27,0,730,0,1,818,
28,0,746,0,2,827,
29,0,774,0,0,858,
30,0,799,0,0,864,
31,0,812,0,0,873,
32,0,828,0,0,886,
33,0,847,0,0,898,
34,0,852,0,0,928,
35,0,866,0,0,934,
36,0,867,0,0,952,
37,0,882,0,0,956,
38,0,893,0,0,962,
39,0,900,0,0,974,
40,0,907,0,0,988,
41,0,925,0,0,994,
42,0,944,0,0,1009,
43,0,953,0,0,1036,
44,0,960,0,0,1054,
45,0,967,0,0,1060,
46,0,972,0,0,1072,
47,0,979,0,0,1083,
48,0,993,0,0,1108,
49,0,1005,0,0,1109,
50,0,1010,0,0,1112,
51,0,0,0,0,1127,
52,0,0,0,0,1132,
53,0,0,0,0,1147,
54,0,0,0,0,1154,
55,0,0,0,0,1155,
