round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,22,30,18,28,27,
1,61,56,38,57,75,
2,85,97,54,50,125,
3,136,150,72,75,189,
4,183,193,38,29,221,
5,207,239,34,57,253,
6,245,275,41,36,278,
7,281,308,21,20,355,
8,313,328,29,25,394,
9,346,351,19,23,441,
10,370,365,32,21,469,
11,395,382,8,10,500,
12,413,395,3,8,552,
13,418,445,6,6,579,
14,426,472,3,10,636,
15,455,520,2,5,703,
16,463,559,3,9,729,
17,469,602,3,7,768,
18,473,619,9,3,816,
19,481,647,0,7,862,
20,484,680,0,3,896,
21,485,702,0,6,924,
22,487,736,0,8,935,
23,489,769,0,2,952,
24,492,831,0,2,966,
25,497,861,0,1,981,
26,501,877,0,2,1020,
27,504,924,0,1,1029,
28,509,960,0,1,1039,
29,511,979,0,4,1055,
30,514,993,0,2,1063,
31,0,1001,0,1,1078,
32,0,1021,0,1,1093,
33,0,1052,0,2,1106,
34,0,1065,0,1,1119,
35,0,1073,0,1,1129,
36,0,1084,0,1,1140,
37,0,1105,0,1,1152,
38,0,1113,0,1,1173,
39,0,1123,0,2,1186,
40,0,1137,0,3,1209,
41,0,1154,0,3,1223,
42,0,1170,0,1,1237,
43,0,1193,0,1,1248,
44,0,1203,0,1,1257,
45,0,1208,0,1,1269,
46,0,1212,0,1,1281,
47,0,1222,0,1,1320,
48,0,1239,0,2,1333,
49,0,1253,0,2,1337,
50,0,1258,0,1,1358,
51,0,1266,0,1,1391,
52,0,1273,0,1,1424,
53,0,1320,0,1,1444,
54,0,1335,0,2,1462,
55,0,1351,0,0,1472,
56,0,1361,0,0,1473,
57,0,0,0,0,1478,
58,0,0,0,0,1480,
59,0,0,0,0,1519,
60,0,0,0,0,1528,
61,0,0,0,0,1536,
62,0,0,0,0,1543,
63,0,0,0,0,1553,
64,0,0,0,0,1563,
65,0,0,0,0,1567,
66,0,0,0,0,1584,
67,0,0,0,0,1593,
68,0,0,0,0,1599,
69,0,0,0,0,1619,
70,0,0,0,0,1624,
71,0,0,0,0,1640,
