round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,27,14,13,25,31,
1,54,64,19,27,77,
2,100,91,38,38,128,
3,129,121,57,26,166,
4,170,156,86,36,200,
5,206,197,52,50,250,
6,246,222,21,26,271,
7,266,241,23,16,287,
8,281,259,7,23,316,
9,286,265,4,11,332,
10,289,283,4,1,362,
11,292,287,2,6,375,
12,294,298,1,3,386,
13,0,306,1,0,396,
14,0,308,0,0,421,
