round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,46,20,21,20,23,
1,76,70,50,45,72,
2,120,119,69,64,118,
3,138,143,47,33,150,
4,189,184,70,62,173,
5,244,210,40,29,212,
6,282,244,37,33,252,
7,304,261,12,23,288,
8,327,284,14,15,338,
9,332,301,3,5,354,
10,338,310,12,4,360,
11,345,315,1,6,374,
12,347,332,1,1,384,
13,348,345,1,1,396,
14,349,349,1,1,402,
15,350,353,0,1,408,
16,353,377,0,1,431,
17,0,389,0,1,440,
18,0,393,0,0,449,
