round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,19,21,13,18,25,
1,43,53,24,34,51,
2,63,97,44,16,95,
3,110,124,23,29,145,
4,147,157,42,37,180,
5,230,187,68,28,228,
6,260,271,49,20,272,
7,301,313,17,33,319,
8,341,362,17,22,343,
9,359,376,10,19,375,
10,376,399,4,18,409,
11,386,431,3,4,424,
12,387,469,4,9,449,
13,0,481,2,10,473,
14,0,513,2,1,501,
15,0,526,2,1,523,
16,0,547,2,1,541,
17,0,587,2,4,569,
18,0,597,1,2,586,
19,0,616,2,1,593,
20,0,653,0,1,603,
21,0,664,0,3,618,
22,0,670,0,1,635,
23,0,678,0,0,636,
24,0,698,0,0,638,
25,0,721,0,0,647,
26,0,732,0,0,653,
27,0,738,0,0,657,
28,0,767,0,0,666,
29,0,777,0,0,672,
30,0,782,0,0,683,
31,0,792,0,0,703,
32,0,796,0,0,742,
33,0,802,0,0,759,
34,0,813,0,0,766,
35,0,830,0,0,776,
36,0,843,0,0,780,
37,0,873,0,0,787,
38,0,881,0,0,800,
39,0,883,0,0,808,
40,0,915,0,0,821,
41,0,920,0,0,833,
42,0,921,0,0,847,
43,0,0,0,0,864,
44,0,0,0,0,878,
45,0,0,0,0,885,
46,0,0,0,0,899,
47,0,0,0,0,913,
48,0,0,0,0,923,
49,0,0,0,0,936,
50,0,0,0,0,939,
51,0,0,0,0,944,
52,0,0,0,0,946,
