round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,340,360,
2,560,560,180,180,400,480,
3,740,740,180,180,540,620,
4,920,920,180,180,640,720,
5,1080,1080,180,180,680,860,
6,1260,1260,180,180,760,960,
7,1440,1400,180,180,860,0,
8,1600,1540,102,152,900,0,
9,1760,1680,72,140,920,0,
10,1900,1820,40,81,1000,0,
11,2040,1940,40,60,1060,0,
12,2182,2060,22,60,1140,0,
13,2282,2140,20,55,1160,0,
14,2362,2228,20,20,1240,0,
15,2419,2288,20,0,0,0,
16,2491,2314,20,0,0,0,
17,2570,2352,2,0,0,0,
18,2650,2373,0,0,0,0,
19,2654,2400,0,0,0,0,
20,2694,2405,0,0,0,0,
