round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,340,380,
2,560,560,180,180,420,500,
3,740,740,180,180,500,640,
4,900,900,180,180,580,800,
5,1080,1060,180,180,600,940,
6,1240,1240,180,180,700,1020,
7,1400,1400,180,176,760,1100,
8,1560,1541,107,138,840,1160,
9,1720,1684,100,80,920,1180,
10,1842,1825,80,56,960,1260,
11,1950,1943,61,40,980,1340,
12,2012,2083,39,40,1000,1360,
13,2095,2183,4,40,1060,1440,
14,2155,2246,0,16,1080,1460,
15,2219,2328,0,0,1100,0,
16,2269,2428,0,0,0,0,
17,2309,2511,0,0,0,0,
18,2353,2540,0,0,0,0,
19,2375,2600,0,0,0,0,
20,2405,2628,0,0,0,0,
21,2425,2646,0,0,0,0,
22,2426,2666,0,0,0,0,
23,2446,2726,0,0,0,0,
24,2447,2732,0,0,0,0,
25,2449,2742,0,0,0,0,
26,0,2745,0,0,0,0,
