T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
1.00,0.10,22.9,17.3,61.9,44.7,25.7742,21.1921,
2.00,0.10,48.9,43.1,133.5,95.1,115.003,66.0202,
3.00,0.10,88.1,79.9,205.3,162.1,286.283,178.132,
4.00,0.10,152.1,136.9,279.5,243.2,964.767,553.848,
5.00,0.10,240.8,213.482,402.2,347.732,2506.02,1670.68,
6.00,0.10,353.7,316.896,574.1,503.894,6438.86,3621.86,
7.00,0.10,505.2,462.312,717.4,648.051,16434.5,10591.1,
8.00,0.10,686,652.351,986.3,828.913,50659.3,28806.3,
9.00,0.10,956.5,937.698,1230.8,1117.6,105327,72918.8,
10.00,0.10,1329.9,1338.81,1548.3,1458.14,374433,205571,
