round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,340,380,
2,560,560,180,180,420,560,
3,740,740,180,180,520,640,
4,900,920,180,180,600,720,
5,1060,1080,180,180,660,840,
6,1220,1240,180,162,700,920,
7,1380,1400,171,160,780,980,
8,1540,1560,140,140,860,1080,
9,1680,1720,107,80,900,1140,
10,1820,1880,80,60,980,1260,
11,1977,2020,57,40,1040,1360,
12,2137,2129,40,40,1060,1440,
13,2257,2237,40,40,1140,1460,
14,2397,2317,34,24,1220,1540,
15,2501,2357,20,20,1260,1640,
16,2601,2417,20,20,1280,1680,
17,2682,2419,20,20,0,1760,
18,2743,2431,5,20,0,1800,
19,2810,0,0,20,0,1860,
20,2831,0,0,20,0,1880,
21,2879,0,0,0,0,1900,
22,2914,0,0,0,0,1940,
23,2954,0,0,0,0,1960,
24,2979,0,0,0,0,2020,
25,3011,0,0,0,0,2100,
26,3012,0,0,0,0,2160,
27,3031,0,0,0,0,2260,
28,0,0,0,0,0,2280,
29,0,0,0,0,0,2320,
