round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,340,380,
2,560,560,180,180,420,540,
3,740,740,160,180,520,680,
4,880,900,140,160,600,820,
5,1020,1040,140,160,640,940,
6,1160,1180,140,160,680,1080,
7,1320,1280,140,160,740,1140,
8,1440,1380,140,141,760,1240,
9,1520,1402,112,140,780,1340,
10,1620,1422,80,113,820,1380,
11,1740,0,80,80,900,1480,
12,1820,0,60,20,960,1540,
13,1920,0,57,20,1020,1640,
14,2020,0,40,0,1040,1720,
15,2120,0,40,0,1140,1800,
16,2200,0,40,0,1200,1880,
17,2280,0,20,0,1220,1960,
18,2340,0,20,0,0,2000,
19,2380,0,0,0,0,2080,
20,2400,0,0,0,0,2120,
21,2460,0,0,0,0,2200,
22,2520,0,0,0,0,2240,
23,2560,0,0,0,0,2340,
24,2580,0,0,0,0,2380,
25,0,0,0,0,0,2460,
26,0,0,0,0,0,2480,
27,0,0,0,0,0,2500,
