round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,340,360,
2,560,560,180,180,420,480,
3,740,740,180,180,520,620,
4,920,920,180,180,600,760,
5,1080,1080,180,180,660,920,
6,1260,1240,180,180,700,980,
7,1422,1400,180,162,780,1100,
8,1562,1560,161,160,860,1220,
9,1722,1720,101,142,880,1300,
10,1882,1850,55,83,900,1380,
11,2031,1970,40,41,920,1460,
12,2131,2052,40,40,940,1540,
13,2214,2112,40,40,0,1600,
14,2290,2232,20,40,0,1700,
15,2351,2312,0,20,0,1720,
16,2399,2402,0,20,0,1760,
17,2449,2482,0,20,0,1840,
18,2469,2562,0,1,0,1880,
19,0,2627,0,0,0,0,
20,0,2687,0,0,0,0,
21,0,2727,0,0,0,0,
22,0,2767,0,0,0,0,
23,0,2770,0,0,0,0,
24,0,2794,0,0,0,0,
25,0,2834,0,0,0,0,
