T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
1.00,0.10,224736,2940231,28901,136478,83758,249591,
2.00,0.10,317486,3655151,29248,282466,137216,760654,
3.00,0.10,341610,14957864,27991,469462,68027,335159,
4.00,0.10,370152,28900732,24744,691269,118241,174896,
5.00,0.10,490544,23952377,28356,830100,131711,735297,
6.00,0.10,358592,24006312,26277,1094574,112779,95933,
7.00,0.10,512529,28783328,29164,1228794,113675,279729,
8.00,0.10,345617,22688359,30212,1380438,87734,395258,
9.00,0.10,428014,25556552,29540,1786312,92366,73882,
10.00,0.10,382501,26023536,29413,2020900,88183,177709,
