T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,130135,9512535,18207,183239,76306,69268,0,
55.00,0.10,130135,5843872,18207,193020,33647,50563,0,
60.00,0.10,130135,6198369,18207,111960,73080,52744,0,
65.00,0.10,130135,4190329,18207,413520,30037,212199,0,
70.00,0.10,130135,5696327,18207,168839,47658,63547,0,
75.00,0.10,130135,5604160,18217,43550,109126,128288,0,
80.00,0.10,130135,10021276,18207,363525,77841,91842,0,
85.00,0.10,130135,4180328,18217,105822,154836,70191,0,
90.00,0.10,130135,6388053,18217,91169,32812,96327,0,
95.00,0.10,130135,5518819,18207,96641,29097,210338,0,
100.00,0.10,130135,5877225,18207,129134,21881,93084,0,
