round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,380,340,180,120,340,340,320,
2,500,460,120,80,460,460,400,
3,620,540,120,80,520,540,440,
4,720,600,120,80,640,640,0,
5,860,660,120,80,700,680,0,
6,980,720,120,40,740,700,0,
7,1080,840,100,20,780,740,0,
8,1180,900,80,20,820,800,0,
9,1240,940,80,20,840,840,0,
10,1340,960,80,20,900,880,0,
11,1420,1060,60,20,920,920,0,
12,1520,1140,60,20,980,980,0,
13,1580,1160,40,20,1020,1000,0,
14,1700,0,40,20,1140,1020,0,
15,1740,0,40,20,1180,1100,0,
16,1800,0,40,20,1220,1120,0,
17,1880,0,40,20,0,1140,0,
18,1920,0,40,20,0,1160,0,
19,2060,0,40,20,0,0,0,
20,2120,0,20,20,0,0,0,
21,2140,0,20,20,0,0,0,
22,0,0,20,20,0,0,0,
23,0,0,0,20,0,0,0,
24,0,0,0,20,0,0,0,
25,0,0,0,20,0,0,0,
26,0,0,0,20,0,0,0,
27,0,0,0,20,0,0,0,
28,0,0,0,20,0,0,0,
29,0,0,0,20,0,0,0,
30,0,0,0,20,0,0,0,
31,0,0,0,20,0,0,0,
32,0,0,0,20,0,0,0,
33,0,0,0,20,0,0,0,
34,0,0,0,20,0,0,0,
35,0,0,0,20,0,0,0,
36,0,0,0,20,0,0,0,
37,0,0,0,20,0,0,0,
38,0,0,0,20,0,0,0,
39,0,0,0,20,0,0,0,
40,0,0,0,20,0,0,0,
41,0,0,0,20,0,0,0,
42,0,0,0,20,0,0,0,
43,0,0,0,20,0,0,0,
44,0,0,0,20,0,0,0,
45,0,0,0,20,0,0,0,
46,0,0,0,20,0,0,0,
47,0,0,0,20,0,0,0,
48,0,0,0,20,0,0,0,
49,0,0,0,20,0,0,0,
50,0,0,0,20,0,0,0,
51,0,0,0,20,0,0,0,
52,0,0,0,20,0,0,0,
53,0,0,0,20,0,0,0,
