round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,380,340,180,120,300,300,320,
2,500,480,120,80,400,380,400,
3,620,540,120,60,420,420,0,
4,720,640,120,60,480,480,0,
5,860,740,120,40,540,520,0,
6,980,820,120,40,640,600,0,
7,1080,900,100,40,740,660,0,
8,1180,940,80,20,760,680,0,
9,1240,1020,80,20,820,740,0,
10,1340,1100,80,20,840,840,0,
11,1420,1160,60,20,860,0,0,
12,1520,1220,60,20,880,0,0,
13,1580,1240,40,20,940,0,0,
14,1700,1320,40,20,960,0,0,
15,1740,0,40,20,1040,0,0,
16,1800,0,40,20,1080,0,0,
17,1880,0,40,20,1120,0,0,
18,1920,0,40,20,1180,0,0,
19,2060,0,40,20,1220,0,0,
20,2120,0,20,20,1240,0,0,
21,2140,0,20,0,1320,0,0,
22,0,0,20,0,1360,0,0,
23,0,0,0,0,1400,0,0,
