T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,950,749.5,3297.6,1688.1,850,750,450,
55.00,0.10,1045,819.5,3625.2,1966.9,660,715,495,
60.00,0.10,1140,840,3958.2,4898.7,960,780,540,
65.00,0.10,1235,910,4288,2579.5,780,910,585,
70.00,0.10,1330,972.4,4619,4654.7,1050,980,630,
75.00,0.10,1425,1274.8,4898.3,5437.2,1200,1050,675,
80.00,0.10,1520,950.5,5275.2,5673,960,1200,720,
85.00,0.10,1615,1096.8,5561,3185.6,1105,1530,765,
90.00,0.10,1710,1259.9,5923,3320.9,1080,1530,810,
95.00,0.10,1805,1234.3,6267.2,2944.5,1140,1615,855,
100.00,0.10,1900,1399.7,6594,5297.2,1200,1700,900,
