round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,380,320,180,120,320,320,320,
2,500,460,120,80,440,360,400,
3,620,540,120,60,480,420,440,
4,720,640,120,60,560,480,0,
5,860,740,120,40,660,560,0,
6,980,800,120,40,720,620,0,
7,1080,860,100,40,820,720,0,
8,1180,900,80,40,880,800,0,
9,1240,960,80,40,920,840,0,
10,1340,1020,80,20,960,0,0,
11,1420,1040,60,20,1060,0,0,
12,1520,1060,60,20,1100,0,0,
13,1580,1080,40,0,0,0,0,
14,1700,1120,40,0,0,0,0,
15,1740,1140,40,0,0,0,0,
16,1800,1160,40,0,0,0,0,
17,1880,0,40,0,0,0,0,
18,1920,0,40,0,0,0,0,
19,2060,0,40,0,0,0,0,
20,2120,0,20,0,0,0,0,
21,2140,0,20,0,0,0,0,
22,0,0,20,0,0,0,0,
