round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,380,320,180,120,300,320,320,
2,500,440,120,100,380,400,400,
3,620,540,120,80,400,480,0,
4,720,660,120,80,460,600,0,
5,860,720,120,40,540,700,0,
6,980,780,120,40,0,780,0,
7,1080,840,100,20,0,860,0,
8,1180,940,80,20,0,920,0,
9,1240,1060,80,20,0,1000,0,
10,1340,1220,80,20,0,1120,0,
11,1420,1280,60,20,0,0,0,
12,1520,1340,60,20,0,0,0,
13,1580,0,40,20,0,0,0,
14,1700,0,40,20,0,0,0,
15,1740,0,40,20,0,0,0,
16,1800,0,40,20,0,0,0,
17,1880,0,40,20,0,0,0,
18,1920,0,40,20,0,0,0,
19,2060,0,40,20,0,0,0,
20,2120,0,20,20,0,0,0,
21,2140,0,20,20,0,0,0,
22,0,0,20,20,0,0,0,
23,0,0,0,20,0,0,0,
24,0,0,0,20,0,0,0,
25,0,0,0,20,0,0,0,
26,0,0,0,20,0,0,0,
27,0,0,0,20,0,0,0,
28,0,0,0,20,0,0,0,
29,0,0,0,20,0,0,0,
30,0,0,0,20,0,0,0,
31,0,0,0,20,0,0,0,
