round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,380,340,180,120,320,320,320,
2,500,440,120,80,420,440,360,
3,620,520,120,80,460,500,440,
4,720,640,120,80,560,600,460,
5,860,720,120,40,600,700,0,
6,980,840,120,40,620,720,0,
7,1080,980,100,20,0,820,0,
8,1180,1120,80,20,0,900,0,
9,1240,1160,80,20,0,940,0,
10,1340,1240,80,20,0,1000,0,
11,1420,1260,60,0,0,1020,0,
12,1520,1280,60,0,0,1060,0,
13,1580,1300,40,0,0,1140,0,
14,1700,1320,40,0,0,1260,0,
15,1740,0,40,0,0,1280,0,
16,1800,0,40,0,0,1320,0,
17,1880,0,40,0,0,1400,0,
18,1920,0,40,0,0,1440,0,
19,2060,0,40,0,0,0,0,
20,2120,0,20,0,0,0,0,
21,2140,0,20,0,0,0,0,
22,0,0,20,0,0,0,0,
