round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,380,340,180,140,300,300,320,
2,500,480,120,100,380,360,400,
3,620,560,120,80,420,380,0,
4,720,680,120,80,480,420,0,
5,860,780,120,60,580,480,0,
6,980,860,120,40,680,560,0,
7,1080,960,100,40,740,640,0,
8,1180,1000,80,40,0,760,0,
9,1240,1100,80,40,0,800,0,
10,1340,1180,80,40,0,840,0,
11,1420,1240,60,20,0,920,0,
12,1520,1320,60,0,0,1000,0,
13,1580,1340,40,0,0,1080,0,
14,1700,0,40,0,0,1200,0,
15,1740,0,40,0,0,1260,0,
16,1800,0,40,0,0,0,0,
17,1880,0,40,0,0,0,0,
18,1920,0,40,0,0,0,0,
19,2060,0,40,0,0,0,0,
20,2120,0,20,0,0,0,0,
21,2140,0,20,0,0,0,0,
22,0,0,20,0,0,0,0,
