T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
10000.00,0.02,10361,6871,1357,799,5023,6706,
10000.00,0.04,11409,12343,2937,1544,9650,7688,
10000.00,0.06,11485,4445,2380,1424,1639,11272,
10000.00,0.08,7054,7642,2410,795,6257,5123,
10000.00,0.10,9108,6623,1860,1315,3644,5585,
10000.00,0.12,12513,4552,2064,1608,1400,1296,
10000.00,0.14,8184,5864,2121,1540,7035,14807,
10000.00,0.16,6889,4687,2563,778,9180,8271,
10000.00,0.18,6849,8071,1548,1004,7689,4307,
10000.00,0.20,7485,4892,1850,1877,4776,7889,
