T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.02,9483,632114,3943,17431,4968,15983,0,
50.00,0.04,7766,248961,2484,9147,8356,7439,0,
50.00,0.06,13130,563544,4522,58402,4651,5941,0,
50.00,0.08,12422,840534,2066,50594,2784,12491,0,
50.00,0.10,12358,372610,2904,3348,10143,7275,0,
50.00,0.12,15488,440627,1859,32295,5248,33903,0,
50.00,0.14,22726,150205,4238,66456,8794,35301,0,
50.00,0.16,5986,299866,3398,61071,5890,8851,0,
50.00,0.18,9216,402993,4156,27502,6333,5315,0,
50.00,0.20,11966,713269,1712,31648,8653,10254,0,
