T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
1.00,0.10,461287,1826861,75189,131855,5119,338950,
2.00,0.10,471178,5026741,71768,292220,6132,392668,
3.00,0.10,973765,17000539,74307,499983,5945,264871,
4.00,0.10,903778,28531008,83600,691553,5648,373087,
5.00,0.10,1050731,27241482,81004,852419,5784,511903,
6.00,0.10,904337,22396754,86352,1035723,4774,187427,
7.00,0.10,1008451,19175557,89373,1254989,5798,570817,
8.00,0.10,1086703,22512220,83459,1405109,5181,282271,
9.00,0.10,1280570,22158167,86593,1660562,5478,419869,
10.00,0.10,1101621,36797654,91829,2016236,5257,394545,
