T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,12183,169047,6661,53868,1329,14661,0,
55.00,0.10,12183,201483,6661,61520,1302,14418,0,
60.00,0.10,12183,122168,6645,56660,1329,15584,0,
65.00,0.10,12127,205295,6645,64324,1302,16685,0,
70.00,0.10,12183,369250,6645,82172,1302,24082,0,
75.00,0.10,12183,322939,6645,67658,1329,23324,0,
80.00,0.10,12183,182935,6230,54316,1329,24396,0,
85.00,0.10,12144,193890,6230,56531,1302,24424,0,
90.00,0.10,12144,203489,6230,59064,1302,24639,0,
95.00,0.10,12144,247329,6645,71864,1302,23304,0,
100.00,0.10,12183,235385,6645,77314,1302,23320,0,
