round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,24,23,12,19,21,21,
1,56,38,20,15,49,38,
2,69,51,43,13,54,51,
3,74,65,22,4,70,60,
4,85,0,7,5,73,0,
5,86,0,8,5,78,0,
6,87,0,3,3,0,0,
7,0,0,1,8,0,0,
8,0,0,6,12,0,0,
9,0,0,3,1,0,0,
10,0,0,0,5,0,0,
