T,var,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
50.00,0.02,7456,510793,2354,6875,5261,0,
50.00,0.04,9441,56850,2717,102099,3807,0,
50.00,0.06,7476,173947,2259,5236,5305,0,
50.00,0.08,4446,7717,2295,2531,3963,0,
50.00,0.10,8870,4035,4029,52023,4401,0,
50.00,0.12,7994,445574,2371,3745,7104,0,
50.00,0.14,11594,300650,4241,50610,3549,0,
50.00,0.16,9556,373104,2752,1308,2332,0,
50.00,0.18,4293,95019,5056,28533,4205,0,
50.00,0.20,5298,316662,1636,61711,2347,0,
