round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,11,17,22,11,17,21,
1,26,57,15,25,37,39,
2,41,60,41,19,45,61,
3,52,70,6,0,49,80,
4,59,71,12,0,55,0,
5,71,0,8,0,0,0,
6,72,0,30,0,0,0,
7,73,0,4,0,0,0,
8,89,0,0,0,0,0,
9,93,0,0,0,0,0,
10,101,0,0,0,0,0,
