round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,13,27,27,12,20,11,
1,33,56,17,21,38,38,
2,50,58,22,14,44,42,
3,58,63,10,21,52,56,
4,85,66,21,7,53,58,
5,93,68,4,2,54,0,
6,104,0,4,5,0,0,
7,107,0,2,2,0,0,
8,0,0,0,7,0,0,
