round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,26,21,13,14,20,16,
1,59,36,24,14,43,38,
2,84,50,10,24,49,57,
3,93,54,21,10,62,59,
4,98,0,20,2,0,60,
5,101,0,16,9,0,0,
6,112,0,32,1,0,0,
7,119,0,15,0,0,0,
8,131,0,27,0,0,0,
9,0,0,4,0,0,0,
10,0,0,1,0,0,0,
11,0,0,9,0,0,0,
