T,var,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
50.00,0.02,500,450,1450,1399.4,450,450,
50.00,0.04,500,450,1450,699.6,500,450,
50.00,0.06,450,449.4,1600,950,450,450,
50.00,0.08,550,450,1485.8,900,450,450,
50.00,0.10,450,450,2342.9,1043.6,450,450,
50.00,0.12,550,444,1400,1500,450,450,
50.00,0.14,500,492.6,2050,1199.5,500,450,
50.00,0.16,450,449.7,1300,799.7,450,450,
50.00,0.18,500,450,2500,881.7,450,450,
50.00,0.20,450,449.8,1200,699.9,450,450,
