round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,13,17,16,16,28,13,
1,40,32,24,14,35,31,
2,63,53,27,11,43,60,
3,67,0,11,10,66,62,
4,75,0,11,3,67,0,
5,78,0,16,1,0,0,
6,89,0,13,3,0,0,
7,102,0,8,0,0,0,
8,0,0,8,0,0,0,
9,0,0,14,0,0,0,
10,0,0,18,0,0,0,
11,0,0,4,0,0,0,
12,0,0,1,0,0,0,
13,0,0,2,0,0,0,
