round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,20,24,15,16,14,18,
1,44,42,25,22,37,42,
2,54,49,25,20,43,49,
3,59,52,9,0,0,78,
4,82,84,5,0,0,0,
5,85,0,1,0,0,0,
6,0,0,9,0,0,0,
7,0,0,3,0,0,0,
8,0,0,1,0,0,0,
9,0,0,8,0,0,0,
