round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,35,18,23,17,17,14,
1,54,34,36,23,48,34,
2,64,44,25,9,54,73,
3,70,47,28,3,0,76,
4,71,49,15,0,0,78,
5,81,0,10,0,0,0,
6,83,0,0,0,0,0,
7,86,0,0,0,0,0,
8,106,0,0,0,0,0,
