round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,28,18,19,19,27,26,
1,50,34,17,29,32,49,
2,56,45,16,19,38,55,
3,57,49,14,2,41,69,
4,69,50,14,5,52,72,
5,73,0,17,0,0,0,
6,0,0,38,0,0,0,
7,0,0,25,0,0,0,
8,0,0,8,0,0,0,
9,0,0,15,0,0,0,
10,0,0,5,0,0,0,
11,0,0,9,0,0,0,
