round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,15,14,16,15,17,12,
1,43,41,27,18,33,31,
2,55,57,13,18,42,53,
3,64,0,9,18,47,64,
4,75,0,15,1,48,0,
5,80,0,14,2,0,0,
6,0,0,5,0,0,0,
7,0,0,13,0,0,0,
