T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
2500.00,0.10,16063,7781,4580,2557,1190,11466,
3025.00,0.10,16063,7476,4580,2094,1190,12621,
3600.00,0.10,16063,7629,4580,2356,1190,11466,
4225.00,0.10,16063,7629,4580,2356,1302,11466,
4900.00,0.10,16063,6827,4580,1805,1190,12024,
5625.00,0.10,16063,5177,4580,1768,1302,12621,
6400.00,0.10,16063,7329,4580,1519,1190,12420,
7225.00,0.10,16063,4590,4580,1519,1190,11466,
8100.00,0.10,16063,4349,4580,1360,1302,11466,
9025.00,0.10,16063,4221,4580,1360,1190,11466,
10000.00,0.10,16063,4068,4580,1314,1190,11466,
