T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
2500.00,0.10,550,549.8,900,899.3,599.88,499.9,
3025.00,0.10,605,549.8,990,659.6,659.891,659.891,
3600.00,0.10,660,599.9,1080,839.7,719.9,599.917,
4225.00,0.10,715,649.9,1170,909.7,909.892,649.923,
4900.00,0.10,770,840,1260,980,839.914,699.929,
5625.00,0.10,825,750,1350,1199.8,1049.91,899.92,
6400.00,0.10,880,800,1440,1120,959.925,959.925,
7225.00,0.10,935,850,1530,1190,1019.93,849.941,
8100.00,0.10,990,900,1620,1260,1259.92,899.944,
9025.00,0.10,1045,950,1710,1330,1139.94,949.947,
10000.00,0.10,1100,1000,1800,1400,1199.94,999.95,
