round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,200,
1,300,260,100,60,240,240,280,
2,340,280,40,20,300,300,360,
3,420,300,20,0,340,380,0,
4,0,340,0,0,360,420,0,
5,0,0,0,0,380,440,0,
