round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,200,
1,300,260,100,60,240,240,320,
2,340,300,40,40,300,320,0,
3,380,320,20,20,0,360,0,
4,400,340,0,0,0,0,0,
