round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,200,
1,300,260,100,60,260,260,320,
2,340,300,40,40,300,360,360,
3,420,320,20,20,0,0,0,
4,0,340,0,0,0,0,0,
