round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,200,
1,300,260,100,60,240,240,280,
2,340,280,40,40,260,300,360,
3,420,300,20,20,0,380,0,
4,0,0,0,0,0,460,0,
