round,IC-TE,IC-JSG,II-TE,II-JSG,
0,23,26,34,20,
1,47,56,63,11,
2,61,58,32,10,
3,72,63,11,3,
4,81,0,1,11,
5,86,0,3,0,
6,88,0,1,0,
7,0,0,29,0,
8,0,0,6,0,
9,0,0,15,0,
10,0,0,2,0,
11,0,0,3,0,
12,0,0,5,0,
13,0,0,7,0,
14,0,0,3,0,
15,0,0,15,0,
