round,IC-TE,IC-JSG,II-TE,II-JSG,
0,35,22,30,27,
1,60,38,18,11,
2,76,49,11,2,
3,83,66,5,3,
4,0,78,3,3,
5,0,86,7,7,
6,0,89,10,10,
7,0,92,18,0,
8,0,93,8,0,
9,0,97,3,0,
10,0,0,2,0,
