round,IC-TE,IC-JSG,II-TE,II-JSG,
0,30,35,25,23,
1,44,49,16,37,
2,75,63,18,6,
3,85,70,10,1,
4,95,86,19,0,
5,112,0,10,0,
6,114,0,16,0,
7,0,0,3,0,
8,0,0,3,0,
9,0,0,6,0,
10,0,0,7,0,
11,0,0,3,0,
