round,IC-TE,IC-JSG,II-TE,II-JSG,
0,37,24,35,28,
1,50,52,22,36,
2,70,62,26,3,
3,94,70,11,0,
4,105,78,5,0,
5,122,107,6,0,
6,125,0,1,0,
7,126,0,5,0,
8,129,0,1,0,
