T,var,IC-TE,IC-JSG,II-TE,II-JSG,
10.00,0.10,20442,15560,3188,1234,
15.00,0.10,17679,10882,3545,1357,
20.00,0.10,5058,19038,3707,1181,
25.00,0.10,6988,12032,2767,998,
30.00,0.10,9789,4767,7293,924,
35.00,0.10,14709,8260,2622,1293,
40.00,0.10,11038,14188,3695,1769,
45.00,0.10,12006,8587,5092,1496,
50.00,0.10,9518,8902,4207,1191,
