round,IC-TE,IC-JSG,II-TE,II-JSG,
0,26,26,28,24,
1,52,55,29,40,
2,77,64,17,4,
3,82,89,11,0,
4,87,96,14,0,
5,93,0,7,0,
6,111,0,9,0,
7,0,0,21,0,
