round,IC-TE,IC-JSG,II-TE,II-JSG,
0,36,19,20,23,
1,57,32,22,21,
2,89,47,33,4,
3,114,67,18,9,
4,115,69,0,5,
5,124,70,0,0,
6,154,71,0,0,
7,165,72,0,0,
8,178,75,0,0,
9,0,86,0,0,
