round,IC-TE,IC-JSG,II-TE,II-JSG,
0,43,27,20,24,
1,76,38,19,20,
2,84,71,20,5,
3,110,73,34,1,
4,115,0,2,2,
5,120,0,0,0,
6,121,0,0,0,
